# ID        SDSS.g   SDSS.g_err   SDSS.r   SDSS.r_err   SDSS.i   SDSS.i_err   SDSS.z   SDSS.z_err   redshift  
  500000    14.992   0.1          14.193   0.1          13.759   0.1          13.41    0.1          0.045151  
  501101    15.752   0.1          14.937   0.1          14.5     0.1          14.138   0.1          0.06      
  502101    15.752   0.1          14.937   0.1          14.5     0.1          14.138   0.1          0.06      
  503101    15.752   0.1          14.937   0.1          14.5     0.1          14.138   0.1          0.06      
  504101    15.752   0.1          14.937   0.1          14.5     0.1          14.138   0.1          0.06      
  501102    16.992   0.1          16.124   0.1          15.665   0.1          15.295   0.1          0.1       
  502102    16.992   0.1          16.124   0.1          15.665   0.1          15.295   0.1          0.1       
  503102    16.992   0.1          16.124   0.1          15.665   0.1          15.295   0.1          0.1       
  504102    16.992   0.1          16.124   0.1          15.665   0.1          15.295   0.1          0.1       
  501103    20.041   0.1          18.838   0.1          18.329   0.1          17.925   0.1          0.3       
  502103    20.04    0.1          18.838   0.1          18.328   0.1          17.925   0.1          0.3       
  503103    20.041   0.1          18.838   0.1          18.328   0.1          17.925   0.1          0.3       
  504103    20.041   0.1          18.838   0.1          18.328   0.1          17.925   0.1          0.3       
  501104    21.466   0.1          20.448   0.1          19.704   0.1          19.232   0.1          0.5       
  502104    21.464   0.1          20.45    0.1          19.705   0.1          19.232   0.1          0.5       
  503104    21.464   0.1          20.45    0.1          19.705   0.1          19.232   0.1          0.5       
  504104    21.464   0.1          20.45    0.1          19.705   0.1          19.232   0.1          0.5       
  501105    22.654   0.1          22.066   0.1          21.225   0.1          20.557   0.1          0.8       
  502105    22.651   0.1          22.068   0.1          21.225   0.1          20.557   0.1          0.8       
  503105    22.651   0.1          22.067   0.1          21.225   0.1          20.557   0.1          0.8       
  504105    22.651   0.1          22.067   0.1          21.225   0.1          20.557   0.1          0.8       
  501106    23.084   0.1          22.712   0.1          22.143   0.1          21.267   0.1          1.0       
  502106    23.083   0.1          22.712   0.1          22.141   0.1          21.268   0.1          1.0       
  503106    23.084   0.1          22.711   0.1          22.14    0.1          21.268   0.1          1.0       
  504106    23.083   0.1          22.711   0.1          22.14    0.1          21.268   0.1          1.0       
  501107    23.787   0.1          23.671   0.1          23.4     0.1          22.918   0.1          1.5       
  502107    23.783   0.1          23.675   0.1          23.399   0.1          22.916   0.1          1.5       
